flag; num; time_ms; ds_temp; lat; lon; alt; fix; crc
6;1;1994;278;0.000000;0.000000;0.000000;0;19066
6;2;4295;280;56.410877;40.975384;128.199997;1;6529
6;3;5790;280;56.410889;40.975422;128.399994;1;34449
6;4;7344;280;56.410892;40.975437;128.600006;1;38164
6;5;8670;281;56.410896;40.975452;128.800003;1;9701
6;6;10010;282;56.410900;40.975471;129.600006;1;5664
6;7;11336;281;56.410900;40.975479;129.699997;1;2989
6;8;12686;280;56.410900;40.975491;129.800003;1;39997
6;9;13998;2840;56.410904;40.975502;129.899994;1;51528
6;10;15330;280;56.410908;40.975506;129.800003;1;25928
6;11;16644;280;56.410908;40.975513;129.800003;1;49314
6;12;17973;280;56.410912;40.975517;129.699997;1;13195
6;13;19297;280;56.410915;40.975536;129.600006;1;15329
6;14;20666;280;56.410919;40.975544;129.699997;1;37313
6;15;22073;281;56.410919;40.975544;129.699997;1;2790
6;16;23402;281;56.410919;40.975552;129.600006;1;11159
6;17;24739;281;56.410919;40.975552;129.500000;1;40244
6;18;26102;282;56.410919;40.975552;129.399994;1;191
6;19;27515;283;56.410919;40.975552;129.500000;1;27107
6;20;28919;283;56.410919;40.975555;129.500000;1;45373
6;21;30333;283;56.410919;40.975555;129.500000;1;51911
6;22;31747;283;56.410919;40.975552;129.300003;1;13949
6;23;33151;283;56.410923;40.975555;129.199997;1;64306
6;24;34513;283;56.410923;40.975555;129.100006;1;38561
6;25;35834;283;56.410919;40.975552;128.600006;1;1813
6;26;37155;283;56.410923;40.975555;128.600006;1;27147
6;27;38478;283;56.410923;40.975555;128.500000;1;24620
6;28;39796;283;56.410919;40.975555;128.399994;1;50906
6;29;41210;283;56.410919;40.975559;128.399994;1;59589
6;30;42601;283;56.410919;40.975559;128.399994;1;22158
6;31;44000;283;56.410919;40.975563;128.300003;1;6739
6;32;45419;283;56.410919;40.975563;128.300003;1;56567
6;33;46827;283;56.410919;40.975563;128.300003;1;27421
6;34;48229;283;56.410919;40.975567;128.300003;1;2526
6;35;49652;283;56.410919;40.975567;128.300003;1;44517
6;36;51065;283;56.410919;40.975567;128.300003;1;12406
6;37;52463;283;56.410919;40.975571;128.399994;1;31452
6;38;53876;5402;56.410919;40.975571;128.399994;1;49815
6;39;55289;280;56.410919;40.975571;128.399994;1;62859
6;40;56691;280;56.410919;40.975571;128.399994;1;40121
6;41;57599;279;56.410919;40.975571;128.399994;1;43692
6;42;58243;279;56.410919;40.975571;128.399994;1;36183
6;43;58953;278;56.410919;40.975574;128.399994;1;29300
6;44;59583;278;56.410919;40.975571;128.500000;1;61740
6;45;60300;277;56.410919;40.975571;128.500000;1;58730
6;46;60932;277;56.410919;40.975571;128.500000;1;35120
6;47;61648;277;56.410919;40.975571;128.500000;1;29773
6;48;62279;277;56.410919;40.975571;128.500000;1;42127
6;49;62968;277;56.410919;40.975574;128.500000;1;62129
6;50;63620;276;56.410919;40.975571;128.500000;1;24862
6;51;64356;276;56.410919;40.975571;128.500000;1;34717
6;52;65008;277;56.410919;40.975571;128.500000;1;51854
6;53;65694;277;56.410919;40.975574;128.500000;1;56080
6;54;66287;277;56.410919;40.975574;128.500000;1;2788
6;55;67027;277;56.410919;40.975574;128.500000;1;42753
6;56;67677;277;56.410919;40.975574;128.500000;1;30457
6;57;68397;277;56.410919;40.975574;128.500000;1;13038
6;58;69034;276;56.410919;40.975571;128.600006;1;14796
6;59;69745;276;56.410919;40.975574;128.600006;1;34241
6;60;70378;276;56.410919;40.975574;128.600006;1;15528
6;61;71101;276;56.410919;40.975574;128.600006;1;53949
6;62;71718;276;56.410919;40.975574;128.600006;1;3541
6;63;72438;276;56.410919;40.975574;128.600006;1;19328
6;64;73089;276;56.410919;40.975574;128.600006;1;20015
6;65;73783;276;56.410919;40.975574;128.600006;1;19246
6;66;74433;277;56.410919;40.975574;128.600006;1;40176
6;67;75151;277;56.410919;40.975574;128.600006;1;3225
6;68;75805;277;56.410919;40.975574;128.600006;1;64107
6;69;76511;277;56.410919;40.975574;128.600006;1;8316
6;70;77147;278;56.410919;40.975574;128.699997;1;23196
6;71;77841;278;56.410919;40.975574;128.699997;1;28985
6;72;78491;279;56.410919;40.975574;128.699997;1;18328
6;73;79227;279;56.410919;40.975574;128.699997;1;20924
6;74;79840;279;56.410919;40.975574;128.699997;1;36718
6;75;80595;279;56.410919;40.975574;128.699997;1;35206
6;76;81229;279;56.410919;40.975574;128.800003;1;49180
6;77;81960;279;56.410919;40.975574;128.800003;1;12130
6;78;82546;279;56.410919;40.975574;128.800003;1;31762
6;79;83275;279;56.410919;40.975574;128.800003;1;18423
6;80;83890;279;56.410919;40.975574;128.800003;1;45812
6;81;84599;279;56.410919;40.975574;128.800003;1;21318
6;82;85235;280;56.410919;40.975574;128.899994;1;8675
6;83;85934;280;56.410919;40.975574;128.899994;1;880
6;84;86551;280;56.410919;40.975578;128.899994;1;43197
6;85;87262;280;56.410919;40.975578;128.899994;1;24627
6;86;87919;280;56.410919;40.975578;128.899994;1;4683
6;87;88645;280;56.410919;40.975578;129.000000;1;10949
6;88;89251;280;56.410919;40.975578;129.000000;1;15312
6;89;89953;281;56.410919;40.975578;129.000000;1;48906
6;90;90800;281;56.410919;40.975578;129.000000;1;39447
6;91;91427;281;56.410919;40.975578;129.000000;1;28576
6;92;92138;281;56.410919;40.975578;129.000000;1;35839
6;93;92793;281;56.410919;40.975578;129.000000;1;32612
6;94;93504;281;56.410919;40.975578;129.100006;1;30648
6;95;94140;281;56.410919;40.975578;129.100006;1;35190
6;96;94847;280;56.410927;40.975571;128.800003;1;23936
6;97;95490;280;56.410934;40.975567;128.500000;1;58018
6;98;96222;280;56.410934;40.975567;128.500000;1;50971
6;99;96851;281;56.410938;40.975567;128.300003;1;29224
6;100;97580;281;56.410938;40.975567;128.300003;1;45263
6;101;98206;281;56.410938;40.975567;128.300003;1;64331
6;102;99875;281;56.410938;40.975571;128.399994;1;25419
6;103;100457;281;56.410938;40.975571;128.399994;1;47715
6;104;101132;282;56.410938;40.975571;128.399994;1;43020
6;105;101740;283;56.410938;40.975571;128.399994;1;29228
6;106;102437;282;56.410938;40.975571;128.399994;1;16056
6;107;103002;282;56.410938;40.975571;128.399994;1;8383
6;108;103679;282;56.410938;40.975571;128.500000;1;14978
6;109;104268;283;56.410938;40.975571;128.500000;1;61908
6;110;104950;283;56.410938;40.975571;128.500000;1;36971
6;111;105550;283;56.410938;40.975571;128.500000;1;5915
6;112;106213;283;56.410938;40.975571;128.500000;1;48942
6;113;106815;283;56.410938;40.975571;128.500000;1;13187
6;114;107493;283;56.410938;40.975571;128.500000;1;62010
6;115;108095;283;56.410938;40.975571;128.500000;1;30875
6;116;108780;283;56.410938;40.975571;128.600006;1;6532
6;117;109345;283;56.410938;40.975571;128.600006;1;39299
6;118;110033;283;56.410938;40.975571;128.600006;1;62470
6;119;110624;283;56.410938;40.975571;128.600006;1;65459
6;120;111358;283;56.410938;40.975571;128.600006;1;57048
6;121;111961;283;56.410938;40.975571;128.600006;1;13207
6;122;112616;283;56.410938;40.975571;128.600006;1;45534
6;123;113217;283;56.410938;40.975571;128.600006;1;10627
6;124;113895;283;56.410938;40.975571;128.600006;1;13972
6;125;114508;283;56.410938;40.975571;128.600006;1;62301
6;126;115196;283;56.410938;40.975574;128.600006;1;47455
6;127;115762;283;56.410938;40.975574;128.600006;1;19388
6;128;116447;283;56.410938;40.975574;128.600006;1;59100
6;129;117049;283;56.410938;40.975574;128.699997;1;14442
6;130;117733;283;56.410938;40.975574;128.699997;1;7635
6;131;118301;283;56.410938;40.975574;128.699997;1;23511
6;132;118975;284;56.410938;40.975574;128.699997;1;30680
6;133;119579;284;56.410938;40.975574;128.699997;1;6192
6;134;120254;284;56.410938;40.975574;128.699997;1;4764
6;135;120856;284;56.410938;40.975574;128.699997;1;8416
6;136;121530;284;56.410938;40.975574;128.699997;1;18489
