flag; num; time_ms; bmp_temp; bmp_press; fhotores; status; crc
32;1;646;2773;99456;5638;2592;2477
32;2;881;2783;99458;5706;18688;47092
32;3;1208;2794;99458;5724;18976;23619
32;4;1443;2800;99459;5621;18688;57552
32;5;1770;2806;99459;5587;18976;26889
32;6;2334;2812;99461;5118;18976;12840
32;7;2610;2814;99460;5075;18688;32700
32;8;2886;2816;99458;5237;18976;55732
32;9;3611;2820;99457;5252;18976;15616
32;10;4600;2825;99455;5282;18976;9590
32;11;4910;2826;99457;5298;18688;63924
32;12;5175;2826;99457;5407;18976;57243
32;13;5509;2827;99454;5488;18976;48750
32;14;6132;2828;99449;5672;18976;42313
32;15;6464;2828;99449;5407;18976;23595
32;16;6744;2829;99451;5298;18976;57377
32;17;7088;2828;99451;4736;18976;7015
32;18;7626;2823;99453;3486;18688;35338
32;19;7917;2821;99454;3559;18688;42943
32;20;8150;2820;99453;3424;18688;40086
32;21;8431;2819;99453;2607;18688;9750
32;22;8951;2820;99451;2367;18688;47047
32;23;9256;2822;99451;3494;18432;38480
32;24;9495;2822;99451;3986;18688;61989
32;25;9776;2823;99450;3977;18688;21827
32;26;10300;2825;99451;3534;18688;7
32;27;10583;2825;99451;2602;18688;63091
32;28;10813;2826;99451;2868;18688;50578
32;29;11103;2826;99450;2799;18688;44696
32;30;11617;2828;99449;4814;18688;25208
32;31;11907;2828;99448;5104;18688;60517
32;32;12137;2828;99449;5162;18688;19278
32;33;12442;2829;99449;5237;18432;16487
32;34;12967;2830;99450;5423;18688;22336
32;35;13248;2830;99450;5866;18688;10944
32;36;13487;2830;99450;5958;18688;14142
32;37;13768;2831;99450;5940;18688;56407
32;38;14293;2831;99451;4562;18688;17284
32;39;14576;2831;99451;5655;18688;48008
32;40;14806;2830;99450;5655;18688;14799
32;41;15096;2831;99449;5488;18688;54546
32;42;15613;2831;99448;3559;18688;3667
32;43;15903;2832;99449;3014;18688;19923
32;44;16133;2832;99448;4538;18688;30023
32;45;16414;2832;99448;3799;18688;53764
32;46;16935;2831;99449;974;18688;21704
32;47;17219;2830;99449;498;18688;37028
32;48;17449;2830;99450;532;18688;39219
32;49;17739;2830;99450;1149;18688;11459
32;50;18254;2830;99448;3891;18688;31517
32;51;18544;2830;99448;3616;18688;7700
