flag; num; time_ms; gps_time_s; gps_time_us; crc
8;1;1994;0;0;20985
8;2;4295;51117;927000;55890
8;3;5790;51120;0;6535
8;4;7344;51121;0;21081
8;5;8670;51122;0;38652
8;6;10010;51124;0;4181
8;7;11336;51125;0;6761
8;8;12686;51126;0;19219
8;9;13998;51128;0;59774
8;10;15330;51129;0;50098
8;11;16644;51130;0;56182
8;12;17973;51131;0;40859
8;13;19297;51133;0;43125
8;14;20666;51134;0;15468
8;15;22073;51135;0;24084
8;16;23402;51137;0;59804
8;17;24739;51138;0;4231
8;18;26102;51139;0;46920
8;19;27515;51141;0;41008
8;20;28919;51142;0;11223
8;21;30333;51143;0;20850
8;22;31747;51145;0;54491
8;23;33151;51146;0;60603
8;24;34513;51147;0;52527
8;25;35834;51149;0;28050
8;26;37155;51150;0;10024
8;27;38478;51151;0;38094
8;28;39796;51153;0;10335
8;29;41210;51154;0;1103
8;30;42601;51155;0;42917
8;31;44000;51157;0;50675
8;32;45419;51158;0;11845
8;33;46827;51159;0;37355
8;34;48229;51161;0;14931
8;35;49652;51162;0;34769
8;36;51065;51163;0;65112
8;37;52463;51165;0;18761
8;38;53876;51166;0;35102
8;39;55289;51167;0;33546
8;40;56691;51169;0;30068
8;41;57599;51170;0;44666
8;42;58244;51170;0;49572
8;43;58953;51171;0;5872
8;44;59583;51172;0;55227
8;45;60300;51172;0;34895
8;46;60932;51173;0;31288
8;47;61648;51174;0;33294
8;48;62279;51174;0;13012
8;49;62968;51175;0;7968
8;50;63620;51176;0;61965
8;51;64356;51176;0;59607
8;52;65008;51177;0;48851
8;53;65694;51178;0;55372
8;54;66287;51178;0;29337
8;55;67027;51179;0;10266
8;56;67677;51180;0;58840
8;57;68398;51180;0;26476
8;58;69034;51181;0;64413
8;59;69745;51182;0;26802
8;60;70378;51182;0;15297
8;61;71101;51183;0;52373
8;62;71718;51183;0;59760
8;63;72438;51184;0;38501
8;64;73089;51185;0;40730
8;65;73783;51186;0;166
8;66;74433;51186;0;2201
8;67;75151;51187;0;53312
8;68;75805;51187;0;4317
8;69;76511;51188;0;32028
8;70;77147;51189;0;14756
8;71;77841;51189;0;64634
8;72;78491;51190;0;47154
8;73;79227;51191;0;46204
8;74;79841;51191;0;6623
8;75;80595;51192;0;53222
8;76;81229;51193;0;23785
8;77;81960;51193;0;2779
8;78;82546;51194;0;6380
8;79;83275;51195;0;19662
8;80;83890;51195;0;34603
8;81;84599;51196;0;27026
8;82;85235;51197;0;62819
8;83;85934;51197;0;2529
8;84;86551;51198;0;9379
8;85;87262;51199;0;34521
8;86;87919;51199;0;33700
8;87;88645;51200;0;48641
8;88;89251;51201;0;33076
8;89;89953;51201;0;62372
8;90;90800;51202;0;8561
8;91;91427;51203;0;44048
8;92;92138;51203;0;5017
8;93;92793;51204;0;7182
8;94;93504;51205;0;48878
8;95;94141;51205;0;24100
8;96;94847;51206;0;22962
8;97;95490;51207;0;56580
8;98;96222;51207;0;42713
8;99;96851;51208;0;36946
8;100;97580;51209;0;6505
8;101;98206;51209;0;14080
8;102;99875;51211;0;39842
8;103;100457;51211;0;29627
8;104;101132;51212;0;60021
8;105;101740;51213;0;38099
8;106;102437;51213;0;41552
8;107;103002;51214;0;9892
8;108;103679;51215;0;10789
8;109;104269;51215;0;56325
8;110;104950;51216;0;3020
8;111;105550;51216;0;4442
